iter	Passed	Remaining
197	2744	4185
198	2758	4172
199	2771	4156
200	2784	4142
201	2799	4129
202	2812	4115
203	2824	4098
204	2838	4084
205	2850	4068
206	2865	4055
207	2879	4042
208	2893	4028
209	2906	4013
210	2920	4000
211	2934	3986
212	2948	3973
213	2976	3978
214	2989	3963
215	3001	3946
216	3014	3931
217	3029	3918
218	3041	3903
219	3056	3889
220	3070	3876
221	3083	3861
222	3096	3846
223	3110	3832
224	3124	3818
225	3138	3804
226	3151	3790
227	3165	3776
228	3180	3763
229	3194	3749
230	3206	3734
231	3221	3721
232	3233	3705
233	3246	3690
234	3259	3675
235	3271	3659
236	3283	3644
237	3295	3628
238	3309	3614
239	3323	3600
240	3335	3584
241	3348	3569
242	3361	3555
243	3374	3540
244	3386	3525
245	3401	3512
246	3413	3496
247	3426	3481
248	3439	3467
249	3451	3451
250	3464	3436
251	3477	3422
252	3491	3409
253	3505	3394
254	3519	3381
255	3533	3368
256	3545	3351
257	3557	3336
258	3570	3322
259	3585	3309
260	3598	3295
261	3611	3280
262	3624	3266
263	3636	3251
264	3650	3237
265	3666	3225
266	3678	3210
267	3692	3196
268	3705	3182
269	3718	3167
270	3731	3153
271	3744	3138
272	3758	3124
273	3771	3110
274	3783	3095
275	3798	3082
276	3812	3069
277	3824	3054
278	3838	3040
279	3852	3027
280	3867	3014
281	3881	3000
282	3893	2985
283	3906	2971
284	3920	2957
285	3933	2943
286	3946	2929
287	3960	2915
288	3972	2900
289	3986	2887
290	4000	2873
291	4014	2859
292	4025	2844
293	4038	2829
294	4051	2815
295	4064	2801
296	4079	2788
297	4093	2774
298	4104	2759
299	4119	2746
300	4131	2731
301	4145	2717
302	4157	2703
303	4170	2688
304	4183	2674
305	4196	2660
306	4208	2645
307	4221	2631
308	4233	2616
309	4244	2601
310	4259	2588
311	4272	2574
312	4285	2560
313	4298	2546
314	4311	2532
315	4323	2517
316	4337	2503
317	4349	2489
318	4362	2475
319	4375	2461
320	4388	2447
321	4400	2432
322	4415	2419
323	4429	2406
324	4442	2392
325	4456	2378
326	4470	2365
327	4483	2350
328	4495	2336
329	4508	2322
330	4520	2307
331	4533	2293
332	4545	2279
333	4559	2265
334	4569	2250
335	4583	2236
336	4596	2223
337	4609	2209
338	4622	2195
339	4635	2181
340	4649	2168
341	4664	2155
342	4677	2140
343	4690	2127
344	4704	2113
345	4717	2099
346	4731	2086
347	4745	2072
348	4756	2057
349	4768	2043
350	4781	2029
351	4794	2016
352	4808	2002
353	4820	1988
354	4833	1974
355	4847	1960
356	4860	1946
357	4873	1933
358	4888	1919
359	4900	1905
360	4914	1892
361	4928	1878
362	4941	1864
363	4953	1850
364	4966	1836
365	4980	1823
366	4992	1809
367	5006	1795
368	5019	1781
369	5032	1768
370	5044	1753
371	5057	1740
372	5069	1726
373	5082	1712
374	5094	1698
375	5109	1684
376	5121	1671
377	5135	1657
378	5148	1643
379	5160	1629
380	5175	1616
381	5189	1602
382	5202	1589
383	5215	1575
384	5229	1562
385	5242	1548
386	5255	1534
387	5269	1521
388	5283	1507
389	5294	1493
390	5308	1479
391	5321	1466
392	5335	1452
393	5348	1439
394	5361	1425
395	5375	1411
396	5387	1397
397	5400	1384
398	5415	1370
399	5428	1357
400	5440	1343
401	5452	1329
402	5466	1315
403	5480	1302
404	5492	1288
405	5505	1274
406	5518	1261
407	5530	1247
408	5542	1233
409	5556	1219
410	5573	1206
411	5588	1193
412	5604	1180
413	5617	1166
414	5632	1153
415	5647	1140
416	5662	1126
417	5675	1113
418	5689	1099
419	5704	1086
420	5718	1073
421	5732	1059
422	5746	1046
423	5758	1032
424	5773	1018
425	5786	1005
426	5800	991
427	5813	978
428	5828	964
429	5842	951
430	5856	937
431	5869	923
432	5882	910
433	5893	896
434	5907	882
435	5920	869
436	5932	855
437	5947	841
438	5960	828
439	5975	814
440	5986	800
441	6000	787
442	6013	773
443	6025	759
444	6037	746
445	6050	732
446	6062	718
447	6078	705
448	6090	691
449	6102	678
450	6114	664
451	6127	650
452	6139	637
453	6154	623
454	6166	609
455	6180	596
456	6191	582
457	6204	569
458	6219	555
459	6232	541
460	6246	528
461	6258	514
462	6271	501
463	6284	487
464	6298	474
465	6312	460
466	6325	447
467	6339	433
468	6352	419
469	6365	406
470	6377	392
471	6390	379
472	6404	365
473	6417	352
474	6431	338
475	6444	324
476	6457	311
477	6470	297
478	6483	284
479	6498	270
480	6512	257
481	6525	243
482	6540	230
483	6554	216
484	6566	203
485	6580	189
486	6594	176
487	6606	162
488	6618	148
489	6631	135
490	6645	121
491	6657	108
492	6670	94
493	6684	81
494	6698	67
495	6710	54
496	6724	40
497	6737	27
498	6750	13
499	6765	0
